CFP,COD_SAP,UNIDADE,CFP_LOCALIDADE,MUNICÍPIO,CÓDIGO_SIAFI_MUNICÍPIO,CÓDIGO_IBGE_MUNICÍPIO,LONGITUDE,LATITUDE,COD_MICRORREGIÃO,NOME_MICRORREGIÃO,COD_MESORREGIÃO,NOME_MESORREGIÃO,REGIÃO ADMINISTRATIVA,REGIÃO DE GOVERNO,REGIÃO METROPOLIATANA
9.14,2052,Escola SENAI SANTO PASCHOAL CREPALDI,914 - PRESIDENTE PRUDENTE,ADAMANTINA,6101,3500105,"-51,07336475","-21,68831148",35036,Presidente Prudente,3508,Presidente Prudente,de Presidente Prudente,de Adamantina,-
08.01,2030,Escola SENAI ANTONIO DEVISATE,801 - SÃO JOSÉ DO RIO PRETO,ADOLFO,6103,3500204,"-49,64972143","-21,23272978",35004,São José do Rio Preto,3501,São José do Rio Preto,de São José do Rio Preto,de São José do Rio Preto,-
5.92,2085,Centro de Treinamento SENAI  - SÃO JOÃO DA BOA VISTA,592 - SÃO JOÃO DA BOA VISTA,AGUAÍ,6105,3500303,"-46,97969311","-22,059684",35030,São João da Boa Vista,3507,Campinas,de Campinas,de São João da Boa Vista,-
5.92,2085,Centro de Treinamento SENAI  - SÃO JOÃO DA BOA VISTA,592 - SÃO JOÃO DA BOA VISTA,ÁGUAS DA PRATA,6107,3500402,"-46,71676671","-21,934829",35030,São João da Boa Vista,3507,Campinas,de Campinas,de São João da Boa Vista,-
05.08,2023,Escola SENAI LUIZ SCAVONE,508 - ITATIBA,ÁGUAS DE LINDÓIA,6109,3500501,"-46,63177884","-22,47382204",35048,Bragança Paulista,3512,Macro Metropolitana Paulista,de Campinas,de Bragança Paulista,-
7.91,2063,Escola SENAI LUIZ MASSA,791 - BOTUCATU,ÁGUAS DE SANTA BÁRBARA,7019,3500550,"-49,23860777","-22,86914941",35023,Botucatu,3504,Bauru,de Sorocaba,de Avaré,-
5.10,2039,Escola SENAI MÁRIO HENRIQUE SIMONSEN,510 - PIRACICABA - JD. PRIMAVERA,ÁGUAS DE SÃO PEDRO,6111,3500600,"-47,88397474","-22,59733955",35028,Piracicaba,3506,Piracicaba,de Campinas,de Piracicaba,-
7.92,2045,Escola SENAI DE LENÇÓIS PAULISTA,792 - LENÇÓIS PAULISTA,AGUDOS,6113,3500709,"-48,99015629","-22,474037",35020,Bauru,3504,Bauru,de Bauru,de Bauru,-
04.04,2106,Escola SENAI LUIZ PAGLIATO,404 - SOROCABA - Jardim Santa Cecília,ALAMBARI,2995,3500758,"-47,89358839","-23,55389889",35046,Sorocaba,3512,Macro Metropolitana Paulista,de Sorocaba,de Itapetininga,de Sorocaba
9.14,2052,Escola SENAI SANTO PASCHOAL CREPALDI,914 - PRESIDENTE PRUDENTE,ALFREDO MARCONDES,6115,3500808,"-51,41293807","-21,95274112",35036,Presidente Prudente,3508,Presidente Prudente,de Presidente Prudente,de Presidente Prudente,-
08.01,2030,Escola SENAI ANTONIO DEVISATE,801 - SÃO JOSÉ DO RIO PRETO,ALTAIR,6117,3500907,"-49,06011075","-20,52330488",35004,São José do Rio Preto,3501,São José do Rio Preto,de Barretos,de Barretos,-
06.02,2055,Escola SENAI ENGº. OCTÁVIO MARCONDES FERRAZ,602 - RIBEIRÃO PRETO,ALTINÓPOLIS,6119,3501004,"-47,37328029","-21,02458264",35014,Ribeirão Preto,3502,Ribeirão Preto,de Ribeirão Preto,de Ribeirão Preto,de Ribeirão Preto
9.90,2073,Escola SENAI AVAK BEDOUIAN,990 - BIRIGÜI,ALTO ALEGRE,6121,3501103,"-50,1635968","-21,58168946",35018,Birigui,3503,Araçatuba,de Araçatuba,de Araçatuba,-
04.03,2084,Escola SENAI ANTÔNIO ERMÍRIO DE MORÃES,403 - ALUMÍNIO,ALUMÍNIO,3065,3501152,"-47,25905692","-23,53337305",35046,Sorocaba,3512,Macro Metropolitana Paulista,de Sorocaba,de Sorocaba,de Sorocaba
8.50,2077,Escola SENAI DE VOTUPORANGA,850 - VOTUPORANGA,ÁLVARES FLORENCE,6123,3501202,"-49,91118481","-20,31987625",35003,Votuporanga,3501,São José do Rio Preto,de São José do Rio Preto,de Votuporanga,-
9.14,2052,Escola SENAI SANTO PASCHOAL CREPALDI,914 - PRESIDENTE PRUDENTE,ÁLVARES MACHADO,6125,3501301,"-51,46879727","-22,077779",35036,Presidente Prudente,3508,Presidente Prudente,de Presidente Prudente,de Presidente Prudente,-
9.27,2033,Escola SENAI JOSÉ POLIZOTTO,927 - MARÍLIA,ÁLVARO DE CARVALHO,6127,3501400,"-49,72060902","-22,07637463",35038,Marília,3509,Marília,de Marília,de Marília,-
9.27,2033,Escola SENAI JOSÉ POLIZOTTO,927 - MARÍLIA,ALVINLÂNDIA,6129,3501509,"-49,76303303","-22,44501015",35038,Marília,3509,Marília,de Marília,de Marília,-
05.07,2049,Escola SENAI PROF. JOÃO BAPTISTA SALLES DA SILVA,507 - AMERICANA,AMERICANA,6131,3501608,"-47,33036293","-22,7408835",35032,Campinas,3507,Campinas,de Campinas,de Campinas,de Campinas
06.03,2025,Escola SENAI HENRIQUE LUPO,603 - ARARAQUARA,AMÉRICO BRASILIENSE,6133,3501707,"-48,10660456","-21,7300365",35024,Araraquara,3505,Araraquara,Central,de Araraquara,-
8.50,2077,Escola SENAI DE VOTUPORANGA,850 - VOTUPORANGA,AMÉRICO DE CAMPOS,6135,3501806,"-49,72702684","-20,29640194",35003,Votuporanga,3501,São José do Rio Preto,de São José do Rio Preto,de Votuporanga,-
05.08,2023,Escola SENAI LUIZ SCAVONE,508 - ITATIBA,AMPARO,6137,3501905,"-46,76508569","-22,69938863",35048,Bragança Paulista,3512,Macro Metropolitana Paulista,de Campinas,de Bragança Paulista,-
06.01,2020,Escola SENAI ANTONIO ADOLPHO LOBBE,601 - SÃO CARLOS,ANALÂNDIA,6139,3502002,"-47,66076642","-22,1287855",35025,São Carlos,3505,Araraquara,de Campinas,de Rio Claro,-
09.01,2048,Escola SENAI DUQUE DE CAXIAS,901 - ARAÇATUBA,ANDRADINA,6141,3502101,"-51,37884779","-20,90146352",35017,Araçatuba,3503,Araçatuba,de Araçatuba,de Andradina,-
04.04,2106,Escola SENAI LUIZ PAGLIATO,404 - SOROCABA - Jardim Santa Cecília,ANGATUBA,6143,3502200,"-48,40675962","-23,483987",35046,Sorocaba,3512,Macro Metropolitana Paulista,de Itapeva,de Itapeva,-
7.91,2063,Escola SENAI LUIZ MASSA,791 - BOTUCATU,ANHEMBI,6145,3502309,"-48,12692683","-22,78632094",35023,Botucatu,3504,Bauru,de Sorocaba,de Botucatu,-
9.14,2052,Escola SENAI SANTO PASCHOAL CREPALDI,914 - PRESIDENTE PRUDENTE,ANHUMAS,6147,3502408,"-51,38607442","-22,29323718",35036,Presidente Prudente,3508,Presidente Prudente,de Presidente Prudente,de Presidente Prudente,-
3.60,2056,Escola SENAI GERALDO ALCKIMIN,360 - PINDAMONHAGABA,APARECIDA,6149,3502507,"-45,22942934","-22,848154",35050,São José dos Campos,3513,Vale do Paraíba Paulista,de São José dos Campos,de Guaratinguetá,do Vale do Paraíba e Litoral Norte
8.50,2077,Escola SENAI DE VOTUPORANGA,850 - VOTUPORANGA,APARECIDA D'OESTE,6151,3502606,"-50,88561571","-20,45084537",35003,Votuporanga,3501,São José do Rio Preto,de São José do Rio Preto,de Jales,-
2.60,2111,Escola SENAI DE REGISTRO,260 - REGISTRO,APIAÍ,6153,3502705,"-48,8486599","-24,513316",35055,Registro,3514,Litoral Sul Paulista,de Itapeva,de Itapeva,-
