ID_VAGA,DATA_CONSULTA,TITULO,EMPRESA,LOCAL,ANUNCIANTE,DESCRICAO,POSTADO_EM,REGIME,REMOTO,QUALIFICACOES,RESPONSABILIDADES,BENEFICIOS,BUSCA,DATA_ANUNCIO
eyJqb2JfdGl0bGUiOiJWYWdhIHBhcmEgT2ZpY2lhbCBkZSBDb3ppbmhhIOKAkyBQZWRyZWlyYS9TUCAtIFNQIiwiY29tcGFueV9uYW1lIjoiQ0JTIFB2dCBMdGQiLCJhZGRyZXNzX2NpdHkiOiJQZWRyZWlyYSwgU1AiLCJodGlkb2NpZCI6IkdXNk5Vem55WmwtM04yUFVBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lHUW5KaGVtbHMiLCJnbCI6ImJyIiwiaGwiOiJwdCJ9,2025-03-27 12:41:30 UTC,Vaga para Oficial de Cozinha – Pedreira/SP - SP,CBS Pvt Ltd,"Pedreira, SP",LinkedIn,"Vaga para Oficial de Cozinha – Pedreira/SP Local:Rua Antônio Pedro, 645, Centro, Pedreira/SP Atividades:Auxiliar no pré-preparo de saladas e sobremesas Distribuição em balcões Lavagem de panelas e utensílios Faxina do local Salário:R$ 1. 790 Escala:5x2 – Segunda a sexta Benefícios:VT + VA + Refeição no local + Assistência médica e odontológica Venha fazer parte da nossa equipe! Envie seu currículo #Vaga #Cozinha #Emprego

Formação Acadêmica

Não informado

Salário

A combinar

Cargo

Chefe de Cozinha

Empresa

Cbs - ciasi baston saez serviços de rh ltda

Seleção e agenciamento de mão-de-obra

Ramo

Recursos Humanos/ Recrutamento e seleção

(EI)",há 10 horas,Tempo integral,None,N/A,N/A,N/A,"Pedreira, SP",2025-03-26
eyJqb2JfdGl0bGUiOiJWZW5kZWRvciIsImNvbXBhbnlfbmFtZSI6IlBsYW5ldGEgVHVyaXNtbyIsImFkZHJlc3NfY2l0eSI6IlBlZHJlaXJhLCBTUCIsImh0aWRvY2lkIjoiamtyRlpKTktNbldHdEp0VkFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUdRbkpoZW1scyIsImdsIjoiYnIiLCJobCI6InB0In0=,2025-03-27 12:41:30 UTC,Vendedor,Planeta Turismo,"Pedreira, SP",BNE,"Empresa localizada na cidade de Pedreira/SP do ramo Comércio, contrata Vendedor. Atribuições: Se você tem paixão por vendas e gosta de se comunicar com as pessoas, essa vaga é para você!

S
residir em pedreira ou região
experiência registrada em vendas será um diferencial
facilidade de atuação em redes sociais, com experiência para gravar vídeos e interagir com o público online
44 hrs semanais

salario - gratificação - bonus - prêmios Tipo de vínculo: Efetivo.",há 4 dias,Tempo integral,None,N/A,N/A,N/A,"Pedreira, SP",2025-03-23
eyJqb2JfdGl0bGUiOiJGcmVudGlzdGEgdmVuZGVkb3IgZGUgcGlzdGEiLCJjb21wYW55X25hbWUiOiJDb25maWRlbmNpYWwiLCJhZGRyZXNzX2NpdHkiOiJQZWRyZWlyYSwgU1AiLCJodGlkb2NpZCI6InBmX19VQjlZbkFzUGtoam9BQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lHUW5KaGVtbHMiLCJnbCI6ImJyIiwiaGwiOiJwdCJ9,2025-03-27 12:41:30 UTC,Frentista vendedor de pista,Confidencial,"Pedreira, SP",BNE,"Posto glm seleciona candidatos (as) para a vaga de frentista. Requisitos: Desejável boa experiência comprovada em carteira em atendimento ao cliente e vendas.. Atribuições: Abastecer automóvel considerando suas características, as técnicas de abastecimento, as necessidades do cliente e as normas de segurança.
Manusear equipamentos e instrumentos conforme indicações estabelecidas pelos fabricantes.
Promover a venda de mercadorias, demostrando seu funcionamento e informar sobre suas qualidades e vantagens de aquisição, auxiliando o cliente na escolha, expor mercadorias de forma atrativa em pontos estratégicos de vendas, com etiquetas de preço. Prestar serviços aos clientes, tais como calibragem de pneus, lavagem de vidros de veículos, verificação do nível do óleo de motor, verificação do nível do fluido de radiador, verificação do nível do fluido de freio e outros serviços correlatados.
Disponibilidade: Noite, Sábado, Manhã, Tarde, Domingo. Tipo de vínculo: Efetivo. Benefícios: Cesta básica, vale alimentação R$ 600,00, vale transporte R$ 170,00, comissão sobre vendas, seguro de vida.",N/A,Tempo integral,None,N/A,N/A,N/A,"Pedreira, SP",2025-03-27
eyJqb2JfdGl0bGUiOiJWZW5kZWRvciBkZSBMb2phIiwiY29tcGFueV9uYW1lIjoiUmVkZSBBbGVhIiwiYWRkcmVzc19jaXR5IjoiUGVkcmVpcmEsIFNQIiwiaHRpZG9jaWQiOiIwNlNGNzhCLU5HRkJqMU8xQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJR1FuSmhlbWxzIiwiZ2wiOiJiciIsImhsIjoicHQifQ==,2025-03-27 12:41:30 UTC,Vendedor de Loja,Rede Alea,"Pedreira, SP",Infojobs,"Área e especialização profissional: Comercial, Vendas - Lojas / Shopping
Nível hierárquico: Consultor
Lugar de trabalho: Pedreira, SP
Regime de contratação de tipo Efetivo – CLT
Jornada Período Integral
RESPONSABILIDADES E ATRIBUIÇÕES Atua diretamente com o consumidor final, representando a marca através das soluções apresentadas, superando os objetivos qualitativos e quantitativos. Realiza a abordagem do cliente de forma educada e cordial, prezando pelo bem estar do mesmo, no ambiente de atendimento. Interage com o cliente, construindo estratégias de negociação, a fim de conhecê-lo e identificar suas necessidades. Busca oferecer produtos e serviços de acordo com a realidade de cada cliente, repassando o maior número de informações, visando minimizar desconfortos sobre a aquisição. Utiliza as plataformas digitais para coletar o histórico do cliente na telefonia e realizar o lançamento das informações coerentes com a solicitação acordada. Conduz o fechamento da negociação, ressaltando o que foi adquirido pelo consumidor com o intuito de satisfazer a busca inicial. Acompanha e assessora o cliente após a venda realizada à fim de fideliza-lo. Participa integralmente de treinamentos voltados a área para aprimorar seus conhecimentos e técnica, performando de forma satisfatória nos resultados. REQUISITOS E QUALIFICAÇÕES Ensino Médio Completo; Experiência em vendas; Técnicas de argumentação em vendas; Planejamento de metas. A MAIOR PARCEIRA VIVO DO BRASIL! Fundada em Nova Bassano, Rio Grande do Sul, a ALEA deu início as suas atividades no ano de 1990 realizando manutenção de eletrônicos. Sete anos depois de credencia apara ser uma Parceira VIVO e começar a atuar na área de telecomunicação. O atual sócio proprietário e CEO, adquiriu a empresa no ano de 2004 e nos últimos 3 anos a empresa expandiu significativamente, chegando na região metropolitana de Porto Alegre, Missões e Fronteiras do RS, no estado do Paraná e na Bahia. Atualmente a Rede ALEA conta com mais de 1300 colaboradores no canal Revenda, com 198 lojas e canal Porta a Porta. Estamos presente nos estados do Rio Grande do Sul, Paraná, Espirito Santo, Rio de Janeiro, São Paulo, Minas Gerais, Distrito Federal, Goiás, Bahia, Pará, Maranhão e Rondônia sendo reconhecida como a maior parceira da Vivo no Brasil. Benefícios: -. seguro de vida -. plano odontológico -. plano de saude -. vale transporte",há 22 dias,Tempo integral,None,N/A,N/A,N/A,"Pedreira, SP",2025-03-05
eyJqb2JfdGl0bGUiOiJQZWRyZWlybyIsImNvbXBhbnlfbmFtZSI6IlRFQ0JVTEEgQ09OU1RSVUNPRVMgRSBSRUZPUk1BUyIsImFkZHJlc3NfY2l0eSI6IlBlZHJlaXJhLCBTUCIsImh0aWRvY2lkIjoiMzZMNmFtVjZ5MU51eGVIMUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUdRbkpoZW1scyIsImdsIjoiYnIiLCJobCI6InB0In0=,2025-03-27 12:41:30 UTC,Pedreiro,TECBULA CONSTRUCOES E REFORMAS,"Pedreira, SP",Catho,"Executar trabalhos de alvenaria, concreto e outros materiais
Realizar leitura e interpretação de projetos arquitetônicos
Realizar acabamentos em alvenaria e concreto aparente Experiência comprovada na área de construção civil
Conhecimento em leitura e interpretação de projetos
Habilidade em realizar acabamentos em alvenaria
Conhecimento em técnicas de impermeabilização
Experiência com montagem de estruturas metálicas",há 2 dias,Tempo integral,None,N/A,N/A,N/A,"Pedreira, SP",2025-03-25
eyJqb2JfdGl0bGUiOiJBdGVuZGVudGUgZGUgRmFybcOhY2lhIC0gUEVEUkVJUkEvU1AgKFBFRFJFSVJBIEEpIiwiY29tcGFueV9uYW1lIjoiUkQgU2HDumRlIC0gRmFybcOhY2lhcyIsImFkZHJlc3NfY2l0eSI6IlBlZHJlaXJhLCBTUCIsImh0aWRvY2lkIjoiWHdZNXhaVGUzazQ0ckNBcEFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUdRbkpoZW1scyIsImdsIjoiYnIiLCJobCI6InB0In0=,2025-03-27 12:41:30 UTC,Atendente de Farmácia - PEDREIRA/SP (PEDREIRA A),RD Saúde - Farmácias,"Pedreira, SP",Glassdoor,"A RD Saúde é uma empresa líder no mercado brasileiro de farmácias. Com as nossas marcas Raia e Drogasil, temos mais de 3.000 unidades espalhadas por todo o país e mais de 55 mil funcionários(as) empenhados(as) em cuidar de perto da saúde e bem-estar das pessoas em todos os momentos da vida.

Até 2030, queremos ser o grupo que mais contribui para uma sociedade mais saudável. Para isso, entendemos que o nosso compromisso vai além do cuidado com a saúde individual. É preciso cuidar das pessoas, dos negócios e do planeta.

Diversidade & Inclusão

Na RD, assumimos o compromisso de incluir e empoderar nossos(as)funcionários(as) por meio da promoção da diversidade e da inclusão. Valorizamos as pessoas, construindo uma cultura acolhedora e de respeito a todos e todas. Seja quem você é aqui!

Vamos juntos nessa?

Responsabilidades e atribuições

Você trabalhará na farmácia e terá contato direto com os nossos clientes, operando o caixa, auxiliando no atendimento com dúvidas e ajudando no recebimento, reposição e organização de mercadorias. Buscamos um perfil otimista, colaborativo e que goste de gente!

Requisitos e qualificações
• Ter mais de 18 anos
• Ter o ensino médio completo

Informações adicionais
• Escala de trabalho: 6 x 1 (podendo trabalhar sábados, domingos e feriados)
• Salário compatível com o mercado
• Participação nos Resultados (PPR)
• Assistência Médica
• Assistência Odontológica
• Seguro de Vida
• Vale-Transporte
• Vale-Refeição
• Benefício Farmácia (Univers)
• Convênio com Empresas Parceiras
• Auxílio Academia (Gympass)
• Auxílio Funeral
• Day Off de Aniversário
• Telemedicina
• Cesta de Natal
• Trilha de Carreira
• Licença Maternidade e Paternidade Estendida

Somos RD Saúde, um ecossistema de saúde integral, com mais de 3 mil unidades em todo o Brasil e negócios em saúde que dividem o mesmo propósito: contribuir para uma sociedade mais saudável. Nossa jornada começou em novembro de 2011, fruto da união entre Raia e Drogasil, crescendo até se tornar a maior rede de farmácias do Brasil e expandindo para além do varejo farmacêutico, integrando soluções B2B e plataformas digitais.

Com mais de um milhão de vidas atendidas diariamente em todo o país, cuidar de perto dos(as) nossos(as) clientes e das nossas pessoas está em nosso DNA. Somos mais de 57 mil profissionais comprometidos em construir o futuro da saúde com calor humano e tecnologia. Temos a sustentabilidade no centro da nossa estratégia, dividindo nossa ambição em três pilares: pessoas, negócio e planeta mais saudáveis.",há 17 dias,Tempo integral,None,N/A,N/A,N/A,"Pedreira, SP",2025-03-10
eyJqb2JfdGl0bGUiOiJjb3ppbmhlaXJvIiwiY29tcGFueV9uYW1lIjoiSW50ZWdyYWwgQWxpbWVudGFjYW8iLCJhZGRyZXNzX2NpdHkiOiJQZWRyZWlyYSwgU1AiLCJodGlkb2NpZCI6IlFpWDR2ajRCTm1jY1FZeWtBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lHUW5KaGVtbHMiLCJnbCI6ImJyIiwiaGwiOiJwdCJ9,2025-03-27 12:41:30 UTC,cozinheiro,Integral Alimentacao,"Pedreira, SP",BNE,"Empresa localizada na cidade de Pedreira/SP do ramo Alimentos, contrata cozinheiro. Atribuições: Salário: r$ 1893,63 + benefícios. Possuir experiência em cozinha industrial. Escala: 6x1 - Horario: manhã. Tipo de vínculo: Efetivo.",N/A,Tempo integral,None,N/A,N/A,N/A,"Pedreira, SP",2025-03-27
eyJqb2JfdGl0bGUiOiJPZmljaWFsIGRlIENvemluaGEgLSBQZWRyZWlyYSBTUCIsImNvbXBhbnlfbmFtZSI6IlNPREVYTyIsImFkZHJlc3NfY2l0eSI6IlBlZHJlaXJhLCBTUCIsImh0aWRvY2lkIjoiRGNtcGMzbXNNQkctOTdwR0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUdRbkpoZW1scyIsImdsIjoiYnIiLCJobCI6InB0In0=,2025-03-27 12:41:30 UTC,Oficial de Cozinha - Pedreira SP,SODEXO,"Pedreira, SP",Catho,"â Vaga para Oficial de Cozinha  Pedreira/SP }

Í Local: Rua Presidente Castelo Branco s/n
Vila Monte Alegre.

9 Atividades:
 Auxiliar no pré-preparo de saladas e sobremesas
 Distribuição em balcões
 Lavagem de panelas e utensílios
 Faxina do local

9 Salário: R$ 1.790
9 Escala: 5x2  Segunda a sexta
9 Benefícios: VT + VA + Refeição no local + Assistência médica e odontológica

¼ Venha fazer parte da nossa equipe! Envie seu currículo é #Vaga #Cozinha #Emprego â Vaga para Oficial de Cozinha  Pedreira/SP }

Í Local: Rua Presidente Castelo Branco s/n
Vila Monte Alegre.

9 Atividades:
 Auxiliar no pré-preparo de saladas e sobremesas
 Distribuição em balcões
 Lavagem de panelas e utensílios
 Faxina do local

9 Salário: R$ 1.790
9 Escala: 5x2  Segunda a sexta
9 Benefícios: VT + VA + Refeição no local + Assistência médica e odontológica

¼ Venha fazer parte da nossa equipe! Envie seu currículo é #Vaga #Cozinha #Emprego",há 17 dias,Tempo integral,None,N/A,N/A,N/A,"Pedreira, SP",2025-03-10
eyJqb2JfdGl0bGUiOiJWYWdhIHBhcmEgT2ZpY2lhbCBkZSBDb3ppbmhhIOKAkyBQZWRyZWlyYS9TUCIsImNvbXBhbnlfbmFtZSI6IkNJQVNJIFNFUlZJQ09TIERFIFJIIExUREEiLCJhZGRyZXNzX2NpdHkiOiJQZWRyZWlyYSwgU1AiLCJodGlkb2NpZCI6ImE5bFpnS1NIaVBOSERMb2hBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lHUW5KaGVtbHMiLCJnbCI6ImJyIiwiaGwiOiJwdCJ9,2025-03-27 12:41:30 UTC,Vaga para Oficial de Cozinha – Pedreira/SP,CIASI SERVICOS DE RH LTDA,"Pedreira, SP",Glassdoor,"Local: Rua Antônio Pedro, 645, Centro, Pedreira/SP

Atividades:

Auxiliar no pré-preparo de saladas e sobremesas

Distribuição em balcões

Lavagem de panelas e utensílios

Faxina do local

Salário: R$ 1.790

Escala: 5x2 – Segunda a sexta

Benefícios: VT + VA + Refeição no local + Assistência médica e odontológica

Venha fazer parte da nossa equipe! Envie seu currículo #Vaga #Cozinha #Emprego

Escolaridade Mínima: Ensino Fundamental (1º grau)",há 22 dias,Tempo integral,None,N/A,N/A,N/A,"Pedreira, SP",2025-03-05
eyJqb2JfdGl0bGUiOiJSZXByZXNlbnRhbnRlIENvbWVyY2lhbCIsImNvbXBhbnlfbmFtZSI6Ikl6aWxkaW5oYSBCYWJ5IiwiYWRkcmVzc19jaXR5IjoiUGVkcmVpcmEsIFNQIiwiaHRpZG9jaWQiOiIwZ0dZUVNqS2VOTFUwRFdfQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJR1FuSmhlbWxzIiwiZ2wiOiJiciIsImhsIjoicHQifQ==,2025-03-27 12:41:30 UTC,Representante Comercial,Izildinha Baby,"Pedreira, SP",Trabalha Brasil,"Quantidade de Vagas:10Descrição Geral:Izildinha baby

Estamos contratando representantes comerciais em todo o brasil para trabalhar com roupas para recém- Nascidos

Linha com mais de 200 produtos...

Estamos há no mercado...

curriculo completo",N/A,Tempo integral,None,N/A,N/A,N/A,"Pedreira, SP",2025-03-27
